,MEN_nmen,MEN_nmencomp,codecommune
1308,86,19,03160
1309,350,51,03161
1310,48,12,03162
1311,183,15,03163
1312,105,8,03164
1313,588,83,03165
1314,84,12,03166
1315,103,24,03167
1316,316,33,03168
1317,90,26,03169
1318,72,12,03170
1319,109,29,03171
1320,69,7,03172
1321,359,47,03173
1322,209,45,03174
1323,125,19,03175
1324,126,19,03176
1325,147,41,03177
1326,170,26,03178
1327,152,25,03179
1328,136,23,03180
1329,207,28,03181
1330,74,14,03182
1331,155,8,03183
1332,130,26,03184
1333,21031,998,03185
1334,521,44,03186
1335,141,24,03187
1336,71,11,03188
1337,301,24,03189
1338,9698,467,03190
1339,117,14,03191
1340,51,7,03192
1341,49,9,03193
1342,73,7,03194
1343,1075,73,03195
1344,122,25,03196
1345,387,48,03197
1346,73,8,03198
1347,328,37,03200
1348,123,31,03201
1349,373,53,03202
1350,177,23,03203
1351,161,30,03204
1352,142,30,03205
1353,93,14,03206
1354,198,29,03207
1355,154,29,03208
1356,32,7,03209
1357,174,32,03210
1358,548,51,03211
1359,251,37,03212
1360,102,10,03213
1361,75,22,03214
1362,132,22,03215
1363,63,17,03216
1364,126,25,03217
1365,99,11,03218
1366,88,15,03219
1367,237,26,03220
1368,323,58,03221
1369,49,12,03222
1370,150,26,03223
1371,142,33,03224
1372,221,24,03225
1373,124,27,03226
1374,125,22,03227
1375,31,7,03228
1376,197,40,03229
1377,121,21,03230
1378,105,16,03231
1379,45,8,03232
1380,72,16,03233
1381,160,27,03234
1382,325,53,03235
1383,1365,87,03236
1384,150,25,03237
1385,256,33,03238
1386,100,23,03239
1387,269,55,03240
1388,174,24,03241
1389,168,30,03242
1390,48,18,03243
1391,74,16,03244
1392,55,17,03245
1393,140,27,03246
1394,283,35,03247
1395,97,11,03248
1396,101,12,03249
1397,147,32,03250
1398,191,21,03251
1399,141,17,03252
1400,134,30,03253
1401,1813,154,03254
1402,53,13,03255
1403,108,21,03256
1404,284,32,03257
1405,351,50,03258
1406,185,32,03259
1407,97,20,03260
1408,67,7,03261
1409,359,30,03262
1410,68,16,03263
1411,1056,73,03264
1412,283,66,03265
1413,83,16,03266
1414,176,27,03267
1415,103,17,03268
1416,41,9,03269
1417,67,13,03270
1418,163,26,03271
1419,96,18,03272
1420,87,15,03273
1421,127,28,03274
1422,724,83,03275
1423,40,4,03276
1424,105,19,03277
1425,79,21,03278
1426,157,20,03279
1427,95,19,03280
1428,194,32,03281
1429,202,22,03282
1430,364,66,03283
1431,142,20,03284
1432,57,11,03285
1433,209,39,03286
1434,163,34,03287
1435,253,40,03288
1436,208,41,03289
1437,285,41,03290
1438,193,20,03291
1439,347,38,03292
1440,152,10,03293
1441,65,6,03294
1442,24,2,03295
1443,208,51,03296
1444,594,55,03297
1445,1636,153,03298
1446,109,19,03299
1447,227,35,03300
1448,236,18,03301
1449,86,14,03303
1450,383,32,03304
1451,168,25,03305
1452,308,42,03306
1453,95,14,03307
1454,56,13,03308
1455,251,29,03309
1456,14049,589,03310
1457,131,12,03311
1458,112,16,03312
1459,133,18,03313
1460,164,20,03314
1461,444,25,03315
1462,285,42,03316
1463,186,19,03317
1464,192,25,03319
1465,358,32,03320
1466,4377,327,03321
1467,110,5,04001
1468,83,5,04004
1469,24,4,04005
1470,207,17,04006
1471,21,2,04007
1472,336,26,04008
1473,16,1,04012
1474,83,9,04013
1475,12,0,04016
1476,27,3,04017
1477,287,16,04018
1478,959,53,04019
1479,33,4,04020
1480,27,6,04021
1481,174,25,04022
